gq	Mmed	cross-section
0.25	100	2.31738460541
0.25	200	2.05853518531
0.25	300	1.51640283402
0.25	400	1.37308653484
0.25	500	1.2811362652
0.25	600	1.21895076901
0.25	700	1.17506191148
0.25	800	1.14745198506
0.25	900	1.12580782911
0.25	1000	1.11111288507
0.25	1100	1.10132760308
0.25	1200	1.09405906554
0.25	1300	1.09008837203
0.25	1400	1.0853522163
0.25	1500	1.08305533574
0.25	1600	1.08199334255
0.25	1700	1.07984515456
0.25	1800	1.07871021497
0.25	1900	1.07696335165
0.25	2000	1.07620492429
0.50	100	5.92127199827
0.50	200	5.0347036326
0.50	300	3.80306994651
0.50	400	2.80934724741
0.50	500	2.21495489593
0.50	600	1.84264726118
0.50	700	1.59916773256
0.50	800	1.43530813696
0.50	900	1.32722604548
0.50	1000	1.25441171258
0.50	1100	1.20705400028
0.50	1200	1.17125808629
0.50	1300	1.14528234121
0.50	1400	1.12601607649
0.50	1500	1.11376104507
0.50	1600	1.1032221819
0.50	1700	1.09689526538
0.50	1800	1.09163905541
0.50	1900	1.0873453699
0.50	2000	1.08534708854
0.75	100	11.3300707955
0.75	200	9.74986197164
0.75	300	7.25013827849
0.75	400	4.57571352685
0.75	500	3.19879352727
0.75	600	2.42142084936
0.75	700	1.94863184055
0.75	800	1.65711806476
0.75	900	1.46576498331
0.75	1000	1.34335585142
0.75	1100	1.26538469838
0.75	1200	1.20989133107
0.75	1300	1.17430188697
0.75	1400	1.14817783086
0.75	1500	1.1281787286
0.75	1600	1.11442109432
0.75	1700	1.10343416458
0.75	1800	1.09711865662
0.75	1900	1.09177539476
0.75	2000	1.08749846913
