gq	Mmed	cross-section
0.25	100	2.31738460541
0.25	200	1.31821364753
0.25	300	1.12275228513
0.25	400	1.09345861768
0.25	500	1.08110324018
0.25	600	1.07847030644
0.25	700	1.07581110808
0.25	800	1.07480493426
0.25	900	1.07437195922
0.25	1000	1.07404380868
0.25	1100	1.07391289616
0.25	1200	1.07380704027
0.25	1300	1.07376585599
0.25	1400	1.07371185213
0.25	1500	1.07370071935
0.25	1600	1.07368018166
0.25	1700	1.07367824687
0.25	1800	1.07367726489
0.25	1900	1.07366151632
0.25	2000	1.07367115645
0.50	100	5.92127199827
0.50	200	2.06787649168
0.50	300	1.37450305106
0.50	400	1.183201267
0.50	500	1.12039839695
0.50	600	1.09616231132
0.50	700	1.08551177368
0.50	800	1.0803470553
0.50	900	1.0768539158
0.50	1000	1.07557275065
0.50	1100	1.07474272166
0.50	1200	1.07438005197
0.50	1300	1.07416443327
0.50	1400	1.07397582748
0.50	1500	1.07386062817
0.50	1600	1.073791486
0.50	1700	1.0737514984
0.50	1800	1.07370959345
0.50	1900	1.07369251533
0.50	2000	1.07369099012
0.75	100	11.3300707955
0.75	200	3.23167273742
0.75	300	1.75655784587
0.75	400	1.29100480091
0.75	500	1.15996472242
0.75	600	1.1110088813
0.75	700	1.09229556749
0.75	800	1.08311108489
0.75	900	1.07865161235
0.75	1000	1.07648523295
0.75	1100	1.07536042021
0.75	1200	1.07463103244
0.75	1300	1.07430331017
0.75	1400	1.07406773769
0.75	1500	1.07395163955
0.75	1600	1.07386781229
0.75	1700	1.07378220294
0.75	1800	1.0737510314
0.75	1900	1.07371150436
0.75	2000	1.0736972144
