MZp	MA0	shuxiaoResult	samuelResult	Difference
400	300	0.01912910	0.01910550	0.00123525
400	400	0.00212848	0.00213540	0.00324061
400	500	0.00067456	0.00067746	0.00428070
400	600	0.00029167	0.00029110	0.00194778
400	700	0.00014550	0.00014481	0.00477184
400	800	0.00007926	0.00007930	0.00046657
400	900	0.00004615	0.00004602	0.00269441
400	1000	0.00002812	0.00002814	0.00039097
400	1100	0.00001779	0.00001783	0.00182866
600	300	0.46223000	0.46166000	0.00123467
600	400	0.06530700	0.06520540	0.00155815
600	500	0.00478680	0.00478210	0.00098283
600	600	0.00122585	0.00122448	0.00111884
600	700	0.00050899	0.00051010	0.00217604
600	800	0.00025529	0.00025559	0.00116204
600	900	0.00014351	0.00014334	0.00123485
600	1000	0.00008689	0.00008690	0.00019562
600	1100	0.00005541	0.00005550	0.00149563
800	300	0.28480000	0.28457000	0.00080824
800	400	0.09337600	0.09354800	0.00183863
800	500	0.03761600	0.03765300	0.00098266
800	600	0.01035036	0.01037084	0.00197477
800	700	0.00178718	0.00177452	0.00713432
800	800	0.00061537	0.00061488	0.00079690
800	900	0.00029726	0.00029773	0.00159205
800	1000	0.00016665	0.00016672	0.00044985
800	1100	0.00010141	0.00010213	0.00709866
1000	300	0.14771000	0.14776000	0.00033839
1000	400	0.06053100	0.06056000	0.00047886
1000	500	0.03534700	0.03533800	0.00025468
1000	600	0.01954200	0.01954100	0.00005117
1000	700	0.00881814	0.00883345	0.00173318
1000	800	0.00283922	0.00283409	0.00181010
1000	900	0.00074266	0.00074235	0.00041759
1000	1000	0.00031041	0.00030973	0.00218898
1000	1100	0.00016698	0.00016654	0.00264803
1200	300	0.07816400	0.07796900	0.00250099
1200	400	0.03524000	0.03517700	0.00179094
1200	500	0.02370600	0.02373300	0.00113766
1200	600	0.01625400	0.01629500	0.00251611
1200	700	0.01036400	0.01036200	0.00019301
1200	800	0.00583530	0.00584360	0.00142036
1200	900	0.00273606	0.00273861	0.00093113
1200	1000	0.00099982	0.00100148	0.00165854
1200	1100	0.00034297	0.00034227	0.00203347
1400	300	0.04268700	0.04264200	0.00105530
1400	400	0.02030600	0.02029800	0.00039413
1400	500	0.01472300	0.01474200	0.00128883
1400	600	0.01122400	0.01122400	0.00000000
1400	700	0.00826810	0.00825550	0.00152626
1400	800	0.00571790	0.00571980	0.00033218
1400	900	0.00365370	0.00364640	0.00200197
1400	1000	0.00207620	0.00207341	0.00134899
1400	1100	0.00101041	0.00100898	0.00142620
1600	300	0.02428900	0.02422800	0.00251775
1600	400	0.01195200	0.01191100	0.00344220
1600	500	0.00905650	0.00905700	0.00005521
1600	600	0.00729670	0.00731350	0.00229712
1600	700	0.00580690	0.00580370	0.00055137
1600	800	0.00446270	0.00446930	0.00147674
1600	900	0.00330150	0.00327590	0.00781465
1600	1000	0.00228490	0.00225830	0.01177877
1600	1100	0.00144110	0.00143930	0.00125061
1800	300	0.01425100	0.01424000	0.00077247
1800	400	0.00717460	0.00714780	0.00374941
1800	500	0.00558990	0.00558950	0.00007156
1800	600	0.00468590	0.00468420	0.00036292
1800	700	0.00389530	0.00390080	0.00140997
1800	800	0.00318980	0.00318940	0.00012542
1800	900	0.00253270	0.00253330	0.00023685
1800	1000	0.00193410	0.00193330	0.00041380
1800	1100	0.00140780	0.00140770	0.00007104
2000	300	0.00860080	0.00858150	0.00224902
2000	400	0.00438990	0.00437910	0.00246626
2000	500	0.00349980	0.00349140	0.00240591
2000	600	0.00299910	0.00300510	0.00199661
2000	700	0.00258160	0.00258300	0.00054201
2000	800	0.00219310	0.00219230	0.00036491
2000	900	0.00182850	0.00183050	0.00109260
2000	1000	0.00148690	0.00148800	0.00073925
2000	1100	0.00117200	0.00117040	0.00136705
2200	300	0.00532160	0.00530960	0.00226006
2200	400	0.00273940	0.00273320	0.00226840
2200	500	0.00221370	0.00221170	0.00090428
2200	600	0.00193690	0.00193540	0.00077503
2200	700	0.00170190	0.00170380	0.00111515
2200	800	0.00148760	0.00148920	0.00107440
2200	900	0.00128170	0.00128100	0.00054645
2200	1000	0.00108500	0.00108510	0.00009216
2200	1100	0.00089801	0.00089822	0.00023380
2400	300	0.00334930	0.00334680	0.00074698
2400	400	0.00174000	0.00173690	0.00178479
2400	500	0.00142110	0.00141930	0.00126823
2400	600	0.00125930	0.00125690	0.00190946
2400	700	0.00112340	0.00112430	0.00080050
2400	800	0.00100120	0.00100280	0.00159553
2400	900	0.00088390	0.00088395	0.00005656
2400	1000	0.00077100	0.00076878	0.00288769
2400	1100	0.00066094	0.00065908	0.00282212
2600	300	0.00214920	0.00214570	0.00163117
2600	400	0.00112400	0.00111910	0.00437852
2600	500	0.00092298	0.00092197	0.00109548
2600	600	0.00082449	0.00082557	0.00130819
2600	700	0.00074737	0.00074630	0.00143374
2600	800	0.00067419	0.00067670	0.00370918
2600	900	0.00060590	0.00060696	0.00174641
2600	1000	0.00053814	0.00053918	0.00192885
2600	1100	0.00047338	0.00047293	0.00095152
2800	300	0.00140370	0.00139240	0.00811548
2800	400	0.00073230	0.00072966	0.00361812
2800	500	0.00060648	0.00060536	0.00185014
2800	600	0.00054612	0.00054598	0.00025642
2800	700	0.00049911	0.00049824	0.00174615
2800	800	0.00045598	0.00045615	0.00037268
2800	900	0.00041471	0.00041542	0.00170911
2800	1000	0.00037348	0.00037481	0.00354846
2800	1100	0.00033449	0.00033443	0.00017941
3000	300	0.00092077	0.00091721	0.00388134
3000	400	0.00048255	0.00048157	0.00203501
3000	500	0.00040220	0.00040093	0.00316764
3000	600	0.00036418	0.00036374	0.00120966
3000	700	0.00033520	0.00033460	0.00179319
3000	800	0.00030894	0.00030873	0.00068021
3000	900	0.00028421	0.00028444	0.00080861
3000	1000	0.00025935	0.00025945	0.00038543
3000	1100	0.00023450	0.00023523	0.00310335
