LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
263400	200.0	300.0	300.0	300.0	100	1.0	0.8	0.0051103
263400	200.0	400.0	400.0	400.0	100	1.0	0.8	0.0010331
263400	200.0	500.0	500.0	500.0	100	1.0	0.8	0.00039639
263400	200.0	600.0	600.0	600.0	100	1.0	0.8	0.00018615
263400	200.0	700.0	700.0	700.0	100	1.0	0.8	9.5661e-05
263400	200.0	800.0	800.0	800.0	100	1.0	0.8	5.2705e-05
263400	200.0	900.0	900.0	900.0	100	1.0	0.8	3.044e-05
263400	200.0	1000.0	1000.0	1000.0	100	1.0	0.8	1.8182e-05
263400	200.0	1100.0	1100.0	1100.0	100	1.0	0.8	1.1246e-05
263400	200.0	1200.0	1200.0	1200.0	100	1.0	0.8	7.1464e-06
263400	400.0	300.0	300.0	300.0	100	1.0	0.8	0.0191291
263400	400.0	400.0	400.0	400.0	100	1.0	0.8	0.00212848
263400	400.0	500.0	500.0	500.0	100	1.0	0.8	0.00067456
263400	400.0	600.0	600.0	600.0	100	1.0	0.8	0.000291667
263400	400.0	700.0	700.0	700.0	100	1.0	0.8	0.000145499
263400	400.0	800.0	800.0	800.0	100	1.0	0.8	7.9265e-05
263400	400.0	900.0	900.0	900.0	100	1.0	0.8	4.61452e-05
263400	400.0	1000.0	1000.0	1000.0	100	1.0	0.8	2.81243e-05
263400	400.0	1100.0	1100.0	1100.0	100	1.0	0.8	1.77947e-05
263400	400.0	1200.0	1200.0	1200.0	100	1.0	0.8	1.16537e-05
263400	600.0	300.0	300.0	300.0	100	1.0	0.8	0.46223
263400	600.0	400.0	400.0	400.0	100	1.0	0.8	0.065307
263400	600.0	500.0	500.0	500.0	100	1.0	0.8	0.0047868
263400	600.0	600.0	600.0	600.0	100	1.0	0.8	0.00122585
263400	600.0	700.0	700.0	700.0	100	1.0	0.8	0.00050899
263400	600.0	800.0	800.0	800.0	100	1.0	0.8	0.000255288
