################################################################################################
UFO = https://svnweb.cern.ch/cern/wsvn/LHCDMF/trunk/models/EW_Higgs_2HDM/
MadGraph Version = MG5_v2_3_3
pdf        mzp        ma         mhp        mh2        tan(beta)  gZ         sigma [pb]
################################################################################################
263400     400        300        300        300        1.0        0.8        0.0191055000
263400     400        400        400        400        1.0        0.8        0.0021354000
263400     400        500        500        500        1.0        0.8        0.0006774600
263400     400        600        600        600        1.0        0.8        0.0002911000
263400     400        700        700        700        1.0        0.8        0.0001448080
263400     400        800        800        800        1.0        0.8        0.0000793020
263400     400        900        900        900        1.0        0.8        0.0000460212
263400     400        1000       1000       1000       1.0        0.8        0.0000281353
263400     400        1100       1100       1100       1.0        0.8        0.0000178273
263400     600        300        300        300        1.0        0.8        0.4616600000
263400     600        400        400        400        1.0        0.8        0.0652054000
263400     600        500        500        500        1.0        0.8        0.0047821000
263400     600        600        600        600        1.0        0.8        0.0012244800
263400     600        700        700        700        1.0        0.8        0.0005101000
263400     600        800        800        800        1.0        0.8        0.0002555850
263400     600        900        900        900        1.0        0.8        0.0001433370
263400     600        1000       1000       1000       1.0        0.8        0.0000869040
263400     600        1100       1100       1100       1.0        0.8        0.0000554950
263400     800        300        300        300        1.0        0.8        0.2845700000
263400     800        400        400        400        1.0        0.8        0.0935480000
263400     800        500        500        500        1.0        0.8        0.0376530000
263400     800        600        600        600        1.0        0.8        0.0103708400
263400     800        700        700        700        1.0        0.8        0.0017745200
263400     800        800        800        800        1.0        0.8        0.0006148800
263400     800        900        900        900        1.0        0.8        0.0002977300
263400     800        1000       1000       1000       1.0        0.8        0.0001667240
263400     800        1100       1100       1100       1.0        0.8        0.0001021320
263400     1000       300        300        300        1.0        0.8        0.1477600000
263400     1000       400        400        400        1.0        0.8        0.0605600000
263400     1000       500        500        500        1.0        0.8        0.0353380000
263400     1000       600        600        600        1.0        0.8        0.0195410000
263400     1000       700        700        700        1.0        0.8        0.0088334500
263400     1000       800        800        800        1.0        0.8        0.0028340900
263400     1000       900        900        900        1.0        0.8        0.0007423500
263400     1000       1000       1000       1000       1.0        0.8        0.0003097340
263400     1000       1100       1100       1100       1.0        0.8        0.0001665390
263400     1200       300        300        300        1.0        0.8        0.0779690000
263400     1200       400        400        400        1.0        0.8        0.0351770000
263400     1200       500        500        500        1.0        0.8        0.0237330000
263400     1200       600        600        600        1.0        0.8        0.0162950000
263400     1200       700        700        700        1.0        0.8        0.0103620000
263400     1200       800        800        800        1.0        0.8        0.0058436000
263400     1200       900        900        900        1.0        0.8        0.0027386100
263400     1200       1000       1000       1000       1.0        0.8        0.0010014840
263400     1200       1100       1100       1100       1.0        0.8        0.0003422720
263400     1400       300        300        300        1.0        0.8        0.0426420000
263400     1400       400        400        400        1.0        0.8        0.0202980000
263400     1400       500        500        500        1.0        0.8        0.0147420000
263400     1400       600        600        600        1.0        0.8        0.0112240000
263400     1400       700        700        700        1.0        0.8        0.0082555000
263400     1400       800        800        800        1.0        0.8        0.0057198000
263400     1400       900        900        900        1.0        0.8        0.0036464000
263400     1400       1000       1000       1000       1.0        0.8        0.0020734080
