LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
263400	600.0	300.0	300.0	300.0	100	1.0	0.8	0.46223
263400	600.0	400.0	400.0	400.0	100	1.0	0.8	0.065307
263400	600.0	500.0	500.0	500.0	100	1.0	0.8	0.0047868
263400	600.0	600.0	600.0	600.0	100	1.0	0.8	0.00122585
263400	600.0	700.0	700.0	700.0	100	1.0	0.8	0.00050899
263400	600.0	800.0	800.0	800.0	100	1.0	0.8	0.000255288
263400	800.0	300.0	300.0	300.0	100	1.0	0.8	0.2848
263400	800.0	400.0	400.0	400.0	100	1.0	0.8	0.093376
263400	800.0	500.0	500.0	500.0	100	1.0	0.8	0.037616
263400	800.0	600.0	600.0	600.0	100	1.0	0.8	0.01035036
263400	800.0	700.0	700.0	700.0	100	1.0	0.8	0.00178718
263400	800.0	800.0	800.0	800.0	100	1.0	0.8	0.00061537
263400	1000.0	300.0	300.0	300.0	100	1.0	0.8	0.14771
263400	1000.0	400.0	400.0	400.0	100	1.0	0.8	0.060531
263400	1000.0	500.0	500.0	500.0	100	1.0	0.8	0.035347
263400	1000.0	600.0	600.0	600.0	100	1.0	0.8	0.019542
263400	1000.0	700.0	700.0	700.0	100	1.0	0.8	0.00881814
263400	1000.0	800.0	800.0	800.0	100	1.0	0.8	0.00283922
263400	1200.0	300.0	300.0	300.0	100	1.0	0.8	0.078164
263400	1200.0	400.0	400.0	400.0	100	1.0	0.8	0.03524
263400	1200.0	500.0	500.0	500.0	100	1.0	0.8	0.023706
263400	1200.0	600.0	600.0	600.0	100	1.0	0.8	0.016254
263400	1200.0	700.0	700.0	700.0	100	1.0	0.8	0.010364
263400	1200.0	800.0	800.0	800.0	100	1.0	0.8	0.0058353
263400	1400.0	300.0	300.0	300.0	100	1.0	0.8	0.042687
263400	1400.0	400.0	400.0	400.0	100	1.0	0.8	0.020306
263400	1400.0	500.0	500.0	500.0	100	1.0	0.8	0.014723
263400	1400.0	600.0	600.0	600.0	100	1.0	0.8	0.011224
263400	1400.0	700.0	700.0	700.0	100	1.0	0.8	0.0082681
263400	1400.0	800.0	800.0	800.0	100	1.0	0.8	0.0057179
263400	1700.0	300.0	300.0	300.0	100	1.0	0.8	0.018545
263400	1700.0	400.0	400.0	400.0	100	1.0	0.8	0.0092082
263400	1700.0	500.0	500.0	500.0	100	1.0	0.8	0.0071071
263400	1700.0	600.0	600.0	600.0	100	1.0	0.8	0.0058468
263400	1700.0	700.0	700.0	700.0	100	1.0	0.8	0.0047758
263400	1700.0	800.0	800.0	800.0	100	1.0	0.8	0.0038042
263400	2000.0	300.0	300.0	300.0	100	1.0	0.8	0.0086008
263400	2000.0	400.0	400.0	400.0	100	1.0	0.8	0.0043899
263400	2000.0	500.0	500.0	500.0	100	1.0	0.8	0.0034998
263400	2000.0	600.0	600.0	600.0	100	1.0	0.8	0.0029991
263400	2000.0	700.0	700.0	700.0	100	1.0	0.8	0.0025816
263400	2000.0	800.0	800.0	800.0	100	1.0	0.8	0.0021931
263400	2500.0	300.0	300.0	300.0	100	1.0	0.8	0.0026787
263400	2500.0	400.0	400.0	400.0	100	1.0	0.8	0.0013922
263400	2500.0	500.0	500.0	500.0	100	1.0	0.8	0.0011446
263400	2500.0	600.0	600.0	600.0	100	1.0	0.8	0.0010187
263400	2500.0	700.0	700.0	700.0	100	1.0	0.8	0.00091718
263400	2500.0	800.0	800.0	800.0	100	1.0	0.8	0.00082249
263400	2750.0	300.0	300.0	300.0	100	1.0	0.8	0.0015511
263400	2750.0	500.0	500.0	500.0	100	1.0	0.8	0.00067388
263400	2750.0	800.0	800.0	800.0	100	1.0	0.8	0.00050351
263400	3000.0	300.0	300.0	300.0	100	1.0	0.8	0.00092077
263400	3000.0	500.0	500.0	500.0	100	1.0	0.8	0.0004022
263400	3000.0	800.0	800.0	800.0	100	1.0	0.8	0.00030894
263400	3500.0	300.0	300.0	300.0	100	1.0	0.8	0.00033718
263400	3500.0	500.0	500.0	500.0	100	1.0	0.8	0.00014885
263400	3500.0	800.0	800.0	800.0	100	1.0	0.8	0.00011855
263400	4000.0	300.0	300.0	300.0	100	1.0	0.8	0.00012964
263400	4000.0	500.0	500.0	500.0	100	1.0	0.8	5.7149e-05
263400	4000.0	800.0	800.0	800.0	100	1.0	0.8	4.6312e-05
