Ma0	Mzp	Cross-section
300	600	0.4621700048446655
300	800	0.2851400077342987
300	1000	0.14816999435424805
300	1200	0.07793299853801727
300	1400	0.042642999440431595
300	1700	0.018516000360250473
300	2000	0.00859449990093708
300	2500	0.002684100065380335
400	600	0.06524249911308289
400	800	0.09357500076293945
400	1000	0.06059199944138527
400	1200	0.03517799824476242
400	1400	0.020306000486016273
400	1700	0.009214100427925587
400	2000	0.004391300026327372
400	2500	0.0013954000314697623
500	600	0.004789500031620264
500	800	0.037650998681783676
500	1000	0.035360001027584076
500	1200	0.023699000477790833
500	1400	0.014739999547600746
500	1700	0.007099600043147802
500	2000	0.0034932000562548637
500	2500	0.0011434999760240316
600	600	0.001222959952428937
600	800	0.010395900346338749
600	1000	0.019516000524163246
600	1200	0.016300000250339508
600	1400	0.011220999993383884
600	1700	0.005854499991983175
600	2000	0.002996500115841627
600	2500	0.0010203999700024724
700	600	0.0005077800014987588
700	800	0.0017799000488594174
700	1000	0.00884218979626894
700	1200	0.010366999544203281
700	1400	0.008239000104367733
700	1700	0.004766299854964018
700	2000	0.0025804999750107527
700	2500	0.0009177799802273512
800	600	0.00025529900449328125
800	800	0.0006161800120025873
800	1000	0.0028292499482631683
800	1200	0.0058420998975634575
800	1400	0.005726799834519625
800	1700	0.0038091999012976885
800	2000	0.0021955999545753
800	2500	0.0008224599878303707
