#run_name            mass#32 zpinputs#1   cross(pb)           
run_05               450 0.4              0.00098769           
run_06               450 0.6              0.00219606           
run_07               500 0.4              0.00218139           
run_08               500 0.6              0.0049629            
run_09               550 0.4              0.00467163           
run_10               550 0.6              0.0138045            
run_11               2050 0.4             0.00055954           
run_12               2050 0.6             0.0016911            
run_13               2100 0.4             0.00049822           
run_14               2100 0.6             0.0015045            
run_15               2150 0.4             0.00044471           
run_16               2150 0.6             0.0013409            
run_17               2200 0.4             0.00039676           
run_18               2200 0.6             0.0011941            
run_19               2250 0.4             0.00035573           
run_20               2250 0.6             0.0010646            
run_21               2300 0.4             0.00031766           
run_22               2300 0.6             0.00095113           
run_23               2450 0.4             0.0002291            
run_24               2450 0.6             0.00067967           
run_25               2700 0.4             0.00013496           
run_26               2700 0.6             0.00039575           
run_27               2750 0.4             0.00012119           
run_28               2750 0.6             0.00035735           
run_29               2800 0.4             0.00010962           
run_30               2800 0.6             0.00032139           
run_31               2850 0.4             9.8727e-05           
run_32               2850 0.6             0.00028921           
run_33               2900 0.4             8.9317e-05           
run_34               2900 0.6             0.00026055           
run_35               2950 0.4             8.0682e-05           
run_36               2950 0.6             0.00023545           
