LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
263400	450.0	300.0	300.0	300.0	100	0.4	0.8	0.0727683
263400	450.0	300.0	300.0	300.0	100	0.6	0.8	0.117909
263400	450.0	300.0	300.0	300.0	100	0.8	0.8	0.142127
263400	450.0	300.0	300.0	300.0	100	1.0	0.8	0.147317
263400	450.0	300.0	300.0	300.0	100	1.2	0.8	0.140927
263400	450.0	300.0	300.0	300.0	100	1.4	0.8	0.128687
263400	450.0	300.0	300.0	300.0	100	1.6	0.8	0.11502
263400	450.0	300.0	300.0	300.0	100	1.8	0.8	0.101811
263400	450.0	300.0	300.0	300.0	100	2.0	0.8	0.089716
263400	500.0	300.0	300.0	300.0	100	0.4	0.8	0.17808
263400	500.0	300.0	300.0	300.0	100	0.6	0.8	0.28822
263400	500.0	300.0	300.0	300.0	100	0.8	0.8	0.34781
263400	500.0	300.0	300.0	300.0	100	1.0	0.8	0.35895
263400	500.0	300.0	300.0	300.0	100	1.2	0.8	0.34266
263400	500.0	300.0	300.0	300.0	100	1.4	0.8	0.31321
263400	500.0	300.0	300.0	300.0	100	1.6	0.8	0.2796
263400	500.0	300.0	300.0	300.0	100	1.8	0.8	0.24729
263400	500.0	300.0	300.0	300.0	100	2.0	0.8	0.21836
263400	550.0	300.0	300.0	300.0	100	0.4	0.8	0.22466
263400	550.0	300.0	300.0	300.0	100	0.6	0.8	0.36251
263400	550.0	300.0	300.0	300.0	100	0.8	0.8	0.43618
263400	550.0	300.0	300.0	300.0	100	1.0	0.8	0.451
263400	550.0	300.0	300.0	300.0	100	1.2	0.8	0.43145
263400	550.0	300.0	300.0	300.0	100	1.4	0.8	0.3941
263400	550.0	300.0	300.0	300.0	100	1.6	0.8	0.35263
263400	550.0	300.0	300.0	300.0	100	1.8	0.8	0.31184
263400	550.0	300.0	300.0	300.0	100	2.0	0.8	0.2752
263400	2050.0	300.0	300.0	300.0	100	0.4	0.8	0.003636
263400	2050.0	300.0	300.0	300.0	100	0.6	0.8	0.0059586
263400	2050.0	300.0	300.0	300.0	100	0.8	0.8	0.0072673
263400	2050.0	300.0	300.0	300.0	100	1.0	0.8	0.0076188
263400	2050.0	300.0	300.0	300.0	100	1.2	0.8	0.0073375
263400	2050.0	300.0	300.0	300.0	100	1.4	0.8	0.0067943
263400	2050.0	300.0	300.0	300.0	100	1.6	0.8	0.0061098
263400	2050.0	300.0	300.0	300.0	100	1.8	0.8	0.0054512
263400	2050.0	300.0	300.0	300.0	100	2.0	0.8	0.0048284
263400	2100.0	300.0	300.0	300.0	100	0.4	0.8	0.0032219
263400	2100.0	300.0	300.0	300.0	100	0.6	0.8	0.0052595
263400	2100.0	300.0	300.0	300.0	100	0.8	0.8	0.0064269
263400	2100.0	300.0	300.0	300.0	100	1.0	0.8	0.0067556
263400	2100.0	300.0	300.0	300.0	100	1.2	0.8	0.0065042
263400	2100.0	300.0	300.0	300.0	100	1.4	0.8	0.0060174
263400	2100.0	300.0	300.0	300.0	100	1.6	0.8	0.0054262
263400	2100.0	300.0	300.0	300.0	100	1.8	0.8	0.0048248
263400	2100.0	300.0	300.0	300.0	100	2.0	0.8	0.0042816
263400	2150.0	300.0	300.0	300.0	100	0.4	0.8	0.0028608
263400	2150.0	300.0	300.0	300.0	100	0.6	0.8	0.004678
263400	2150.0	300.0	300.0	300.0	100	0.8	0.8	0.0057032
263400	2150.0	300.0	300.0	300.0	100	1.0	0.8	0.0059812
263400	2150.0	300.0	300.0	300.0	100	1.2	0.8	0.0057778
263400	2150.0	300.0	300.0	300.0	100	1.4	0.8	0.0053411
263400	2150.0	300.0	300.0	300.0	100	1.6	0.8	0.0048126
263400	2150.0	300.0	300.0	300.0	100	1.8	0.8	0.0042788
263400	2150.0	300.0	300.0	300.0	100	2.0	0.8	0.0038015
