fileID	LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
1	263400	450.0	300.0	300.0	300.0	100	0.4	0.8	0.0727683
65	263400	450.0	300.0	300.0	300.0	100	0.6	0.8	0.117967
3	263400	450.0	300.0	300.0	300.0	100	0.8	0.8	0.142127
4	263400	450.0	300.0	300.0	300.0	100	1.0	0.8	0.147317
5	263400	450.0	300.0	300.0	300.0	100	1.2	0.8	0.140927
6	263400	450.0	300.0	300.0	300.0	100	1.4	0.8	0.128687
7	263400	450.0	300.0	300.0	300.0	100	1.6	0.8	0.11502
121	263400	450.0	300.0	300.0	300.0	100	1.8	0.8	0.101373
122	263400	450.0	300.0	300.0	300.0	100	2.0	0.8	0.089551
153	263400	450.0	300.0	300.0	300.0	100	2.5	0.8	0.0658491
154	263400	450.0	300.0	300.0	300.0	100	3.0	0.8	0.0491139
185	263400	450.0	300.0	300.0	300.0	100	3.5	0.8	0.037775
186	263400	450.0	300.0	300.0	300.0	100	4.0	0.8	0.0297086
217	263400	450.0	300.0	300.0	300.0	100	4.5	0.8	0.0238934
218	263400	450.0	300.0	300.0	300.0	100	5.0	0.8	0.0194782
249	263400	450.0	300.0	300.0	300.0	100	7.0	0.8	0.0099242
250	263400	450.0	300.0	300.0	300.0	100	10.0	0.8	0.00461883
10	263400	500.0	300.0	300.0	300.0	100	0.4	0.8	0.17808
66	263400	500.0	300.0	300.0	300.0	100	0.6	0.8	0.28856
12	263400	500.0	300.0	300.0	300.0	100	0.8	0.8	0.34781
282	263400	500.0	300.0	300.0	300.0	100	1.0	0.8	0.35912
14	263400	500.0	300.0	300.0	300.0	100	1.2	0.8	0.34266
15	263400	500.0	300.0	300.0	300.0	100	1.4	0.8	0.31321
16	263400	500.0	300.0	300.0	300.0	100	1.6	0.8	0.2796
17	263400	500.0	300.0	300.0	300.0	100	1.8	0.8	0.24729
18	263400	500.0	300.0	300.0	300.0	100	2.0	0.8	0.21836
155	263400	500.0	300.0	300.0	300.0	100	2.5	0.8	0.15972
156	263400	500.0	300.0	300.0	300.0	100	3.0	0.8	0.11948
187	263400	500.0	300.0	300.0	300.0	100	3.5	0.8	0.091729
188	263400	500.0	300.0	300.0	300.0	100	4.0	0.8	0.072254
219	263400	500.0	300.0	300.0	300.0	100	4.5	0.8	0.057909
220	263400	500.0	300.0	300.0	300.0	100	5.0	0.8	0.047319
251	263400	500.0	300.0	300.0	300.0	100	7.0	0.8	0.024102
252	263400	500.0	300.0	300.0	300.0	100	10.0	0.8	0.011185
19	263400	550.0	300.0	300.0	300.0	100	0.4	0.8	0.22466
20	263400	550.0	300.0	300.0	300.0	100	0.6	0.8	0.36251
21	263400	550.0	300.0	300.0	300.0	100	0.8	0.8	0.43618
283	263400	550.0	300.0	300.0	300.0	100	1.0	0.8	0.45163
23	263400	550.0	300.0	300.0	300.0	100	1.2	0.8	0.43145
24	263400	550.0	300.0	300.0	300.0	100	1.4	0.8	0.3941
25	263400	550.0	300.0	300.0	300.0	100	1.6	0.8	0.35263
26	263400	550.0	300.0	300.0	300.0	100	1.8	0.8	0.31184
27	263400	550.0	300.0	300.0	300.0	100	2.0	0.8	0.2752
157	263400	550.0	300.0	300.0	300.0	100	2.5	0.8	0.20186
158	263400	550.0	300.0	300.0	300.0	100	3.0	0.8	0.15107
189	263400	550.0	300.0	300.0	300.0	100	3.5	0.8	0.11619
190	263400	550.0	300.0	300.0	300.0	100	4.0	0.8	0.091096
221	263400	550.0	300.0	300.0	300.0	100	4.5	0.8	0.073412
222	263400	550.0	300.0	300.0	300.0	100	5.0	0.8	0.059838
253	263400	550.0	300.0	300.0	300.0	100	7.0	0.8	0.030587
254	263400	550.0	300.0	300.0	300.0	100	10.0	0.8	0.014167
28	263400	2050.0	300.0	300.0	300.0	100	0.4	0.8	0.003636
68	263400	2050.0	300.0	300.0	300.0	100	0.6	0.8	0.0059388
30	263400	2050.0	300.0	300.0	300.0	100	0.8	0.8	0.0072673
284	263400	2050.0	300.0	300.0	300.0	100	1.0	0.8	0.0076131
32	263400	2050.0	300.0	300.0	300.0	100	1.2	0.8	0.0073375
33	263400	2050.0	300.0	300.0	300.0	100	1.4	0.8	0.0067943
34	263400	2050.0	300.0	300.0	300.0	100	1.6	0.8	0.0061098
127	263400	2050.0	300.0	300.0	300.0	100	1.8	0.8	0.0054483
128	263400	2050.0	300.0	300.0	300.0	100	2.0	0.8	0.0048324
159	263400	2050.0	300.0	300.0	300.0	100	2.5	0.8	0.0035729
160	263400	2050.0	300.0	300.0	300.0	100	3.0	0.8	0.0026956
191	263400	2050.0	300.0	300.0	300.0	100	3.5	0.8	0.0020776
192	263400	2050.0	300.0	300.0	300.0	100	4.0	0.8	0.0016363
223	263400	2050.0	300.0	300.0	300.0	100	4.5	0.8	0.0013198
224	263400	2050.0	300.0	300.0	300.0	100	5.0	0.8	0.0010789
